Axial Strain (mm/mm),Axial Stress (Mpa)
0,0
0.040724204,0.026633339
0.075302548,0.062849702
0.10801465,0.10296565
0.138825478,0.145238816
0.167907006,0.190498898
0.195309554,0.239202232
0.221190446,0.290933967
0.245821019,0.34357837
