Axial Strain (mm/mm),Axial Stress (Mpa)
0,0
0.042543678,0.016714049
0.081208046,0.041667968
0.11554023,0.073534005
0.146477586,0.111921646
0.174193678,0.156440375
0.199266092,0.20654347
0.221894253,0.260512666
0.24246954,0.317254519
0.262082184,0.376534721
