Axial Strain (mm/mm),Axial Stress (Mpa)
0,0
0.05709726,0.007951774
0.111911644,0.018927462
0.163813699,0.034644349
0.211943836,0.056222402
0.255013014,0.083325632
0.293357534,0.118081977
0.327034247,0.160416774
0.356910959,0.207716763
0.384755479,0.257704675
0.410240411,0.313367093
0.43090274,0.349878056
