Axial Strain (mm/mm),Axial Stress (Mpa)
0,0
0.06237757,0.02590054
0.112058879,0.068279329
0.15128785,0.122661857
0.183317757,0.185391071
0.2108,0.254401811
0.235354206,0.328059159
0.257601869,0.402620014
