Axial Strain (mm/mm),Axial Stress (Mpa)
0,0
0.082162,0.010450416
0.157578,0.02706283
0.225489,0.052293715
0.284646,0.087017408
0.33512,0.13173353
0.378024,0.18560938
0.414513,0.245355782
0.445993,0.310681291
0.473875,0.380461757
