0.0000e+00, -2.2729e-01, -1.3063e-01
2.0000e-02, -2.2929e-01, -1.3178e-01
2.0300e-02, -2.2930e-01, -1.3178e-01
2.0604e-02, -2.2932e-01, -1.3179e-01
2.0913e-02, -2.2933e-01, -1.3180e-01
2.1227e-02, -2.2935e-01, -1.3181e-01
2.1545e-02, -2.2937e-01, -1.3182e-01
2.1868e-02, -2.2938e-01, -1.3183e-01
2.2196e-02, -2.2940e-01, -1.3184e-01
2.2529e-02, -2.2942e-01, -1.3185e-01
2.2867e-02, -2.2943e-01, -1.3186e-01
2.3210e-02, -2.2945e-01, -1.3187e-01
2.3558e-02, -2.2947e-01, -1.3188e-01
2.3911e-02, -2.2948e-01, -1.3189e-01
2.4270e-02, -2.2950e-01, -1.3190e-01
2.4634e-02, -2.2952e-01, -1.3191e-01
2.5003e-02, -2.2954e-01, -1.3192e-01
2.5378e-02, -2.2956e-01, -1.3193e-01
2.5759e-02, -2.2958e-01, -1.3194e-01
2.6145e-02, -2.2960e-01, -1.3195e-01
2.6537e-02, -2.2962e-01, -1.3196e-01
2.6935e-02, -2.2964e-01, -1.3197e-01
2.7339e-02, -2.2966e-01, -1.3199e-01
2.7749e-02, -2.2968e-01, -1.3200e-01
2.8165e-02, -2.2970e-01, -1.3201e-01
2.8587e-02, -2.2972e-01, -1.3202e-01
2.9016e-02, -2.2974e-01, -1.3203e-01
2.9451e-02, -2.2976e-01, -1.3205e-01
2.9893e-02, -2.2978e-01, -1.3206e-01
3.0341e-02, -2.2981e-01, -1.3207e-01
3.0796e-02, -2.2983e-01, -1.3209e-01
3.1258e-02, -2.2985e-01, -1.3210e-01
3.1727e-02, -2.2988e-01, -1.3211e-01
3.2202e-02, -2.2990e-01, -1.3213e-01
3.2685e-02, -2.2992e-01, -1.3214e-01
3.3176e-02, -2.2995e-01, -1.3215e-01
3.3673e-02, -2.2997e-01, -1.3217e-01
3.4178e-02, -2.3000e-01, -1.3218e-01
3.4690e-02, -2.3002e-01, -1.3220e-01
3.5211e-02, -2.3005e-01, -1.3221e-01
3.5739e-02, -2.3008e-01, -1.3223e-01
3.6275e-02, -2.3010e-01, -1.3224e-01
3.6819e-02, -2.3013e-01, -1.3226e-01
3.7371e-02, -2.3016e-01, -1.3227e-01
3.7931e-02, -2.3019e-01, -1.3229e-01
3.8500e-02, -2.3021e-01, -1.3231e-01
3.9077e-02, -2.3024e-01, -1.3232e-01
3.9663e-02, -2.3027e-01, -1.3234e-01
4.0258e-02, -2.3031e-01, -1.3236e-01
4.0862e-02, -2.3037e-01, -1.3240e-01
4.1475e-02, -2.3044e-01, -1.3243e-01
4.2097e-02, -2.3050e-01, -1.3247e-01
4.2728e-02, -2.3056e-01, -1.3251e-01
4.3369e-02, -2.3063e-01, -1.3254e-01
4.4019e-02, -2.3069e-01, -1.3258e-01
4.4679e-02, -2.3076e-01, -1.3262e-01
4.5349e-02, -2.3082e-01, -1.3266e-01
4.6029e-02, -2.3089e-01, -1.3270e-01
4.6719e-02, -2.3096e-01, -1.3274e-01
4.7420e-02, -2.3103e-01, -1.3278e-01
4.8131e-02, -2.3110e-01, -1.3282e-01
