Axial Strain (mm/mm),Axial Stress (Mpa)
0,0
0.052371006,0.002689245
0.104683432,0.006397144
0.15630355,0.010919966
0.201920118,0.025547832
0.240097041,0.053173716
0.27326568,0.089600768
0.30204497,0.13458451
0.327139645,0.185965396
0.349150296,0.242398803
0.36867929,0.30412921
